Country / Territory,ISO3,Region,CPI score 2021,CPI score 2020,CPI score 2019,CPI score 2018,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Denmark,DNK,WE/EU,88,88,87,88,88,90,91,92,91,90
New Zealand,NZL,AP,88,88,87,87,89,90,91,91,91,90
Finland,FIN,WE/EU,88,85,86,85,85,89,90,89,89,90
Singapore,SGP,AP,85,85,85,85,84,84,85,84,86,87
Sweden,SWE,WE/EU,85,85,85,85,84,88,89,87,89,88
Norway,NOR,WE/EU,85,84,84,84,85,85,88,86,86,85
Switzerland,CHE,WE/EU,84,85,85,85,85,86,86,86,85,86
Netherlands,NLD,WE/EU,82,82,82,82,82,83,84,83,83,84
Luxembourg,LUX,WE/EU,81,80,80,81,82,81,85,82,80,80
Germany,DEU,WE/EU,80,80,80,80,81,81,81,79,78,79
United Kingdom,GBR,WE/EU,78,77,77,80,82,81,81,78,76,74
Hong Kong,HKG,AP,76,77,76,76,77,77,75,74,75,77
Canada,CAN,AME,74,77,77,81,82,82,83,81,81,84
Austria,AUT,WE/EU,74,76,77,76,75,75,76,72,69,69
Estonia,EST,WE/EU,74,75,74,73,71,70,70,69,68,64
Iceland,ISL,WE/EU,74,75,78,76,77,78,79,79,78,82
Ireland,IRL,WE/EU,74,72,74,73,74,73,75,74,72,69
Australia,AUS,AP,73,77,77,77,77,79,79,80,81,85
Belgium,BEL,WE/EU,73,76,75,75,75,77,77,76,75,75
Japan,JPN,AP,73,74,73,73,73,72,75,76,74,74
Uruguay,URY,AME,73,71,71,70,70,71,74,73,73,72
France,FRA,WE/EU,71,69,69,72,70,69,70,69,71,71
Seychelles,SYC,SSA,70,66,66,66,60,,55,55,54,52
United Arab Emirates,ARE,MENA,69,71,71,70,71,66,70,70,69,68
Bhutan,BTN,AP,68,68,68,68,67,65,65,65,63,63
Taiwan,TWN,AP,68,65,65,63,63,61,62,61,61,61
Chile,CHL,AME,67,67,67,67,67,66,70,73,71,72
United States of America,USA,AME,67,67,69,71,75,74,76,74,73,73
Barbados,BRB,AME,65,64,62,68,68,61,,74,75,76
Bahamas,BHS,AME,64,63,64,65,65,66,,71,71,71
Qatar,QAT,MENA,63,63,62,62,63,61,71,69,68,68
"Korea, South",KOR,AP,62,61,59,57,54,53,54,55,55,56
Portugal,PRT,WE/EU,62,61,62,64,63,62,64,63,62,63
Spain,ESP,WE/EU,61,62,62,58,57,58,58,60,59,65
Lithuania,LTU,WE/EU,61,60,60,59,59,59,59,58,57,54
Israel,ISR,MENA,59,60,60,61,62,64,61,60,61,60
Saint Vincent and the Grenadines,VCT,AME,59,59,59,58,58,60,,62,62,62
Latvia,LVA,WE/EU,59,57,56,58,58,57,56,55,53,49
Cabo Verde,CPV,SSA,58,58,58,57,55,59,55,57,58,60
Costa Rica,CRI,AME,58,57,56,56,59,58,55,54,53,54
Slovenia,SVN,WE/EU,57,60,60,60,61,61,60,58,57,61
Poland,POL,WE/EU,56,56,58,60,60,62,63,61,60,58
Saint Lucia,LCA,AME,56,56,55,55,55,60,,71,71,71
Italy,ITA,WE/EU,56,53,53,52,50,47,44,43,43,42
Botswana,BWA,SSA,55,60,61,61,61,60,63,63,64,65
Georgia,GEO,ECA,55,56,56,58,56,57,52,52,49,52
Dominica,DMA,AME,55,55,55,57,57,59,,58,58,58
Czechia,CZE,WE/EU,54,54,56,59,57,55,56,51,48,49
Malta,MLT,WE/EU,54,53,54,54,56,55,60,55,56,57
Mauritius,MUS,SSA,54,53,52,51,50,54,53,54,52,57
Cyprus,CYP,WE/EU,53,57,58,59,57,55,61,63,63,66
Rwanda,RWA,SSA,53,54,53,56,55,54,54,49,53,53
Grenada,GRD,AME,53,53,53,52,52,56,,,,
Saudi Arabia,SAU,MENA,53,53,53,49,49,46,52,49,46,44
Oman,OMN,MENA,52,54,52,52,44,45,45,45,47,47
Slovakia,SVK,WE/EU,52,49,50,50,50,51,51,50,47,46
Namibia,NAM,SSA,49,51,52,53,51,52,53,49,48,48
Greece,GRC,WE/EU,49,50,48,45,48,44,46,43,40,36
Armenia,ARM,ECA,49,49,42,35,35,33,35,37,36,34
Jordan,JOR,MENA,49,49,48,49,48,48,53,49,45,48
Malaysia,MYS,AP,48,51,53,47,47,49,50,52,50,49
Croatia,HRV,WE/EU,47,47,47,48,49,49,51,48,48,46
Cuba,CUB,AME,46,47,48,47,47,47,47,46,46,48
Montenegro,MNE,ECA,46,45,45,45,46,45,44,42,44,41
Sao Tome and Principe,STP,SSA,45,47,46,46,46,46,42,42,42,42
Romania,ROU,WE/EU,45,44,44,47,48,48,46,43,43,44
Vanuatu,VUT,AP,45,43,46,46,43,,,,,
China,CHN,AP,45,42,41,39,41,40,37,36,40,39
Jamaica,JAM,AME,44,44,43,44,44,39,41,38,38,38
South Africa,ZAF,SSA,44,44,44,43,43,45,44,44,42,43
Tunisia,TUN,MENA,44,44,43,43,42,41,38,40,41,41
Senegal,SEN,SSA,43,45,45,45,45,45,44,43,41,36
Hungary,HUN,WE/EU,43,44,44,46,45,48,51,54,54,55
Ghana,GHA,SSA,43,43,41,41,40,43,47,48,46,45
Kuwait,KWT,MENA,43,42,40,41,39,41,49,44,43,44
Solomon Islands,SLB,AP,43,42,42,44,39,42,,,,
Bulgaria,BGR,WE/EU,42,44,43,42,43,41,41,43,41,41
Bahrain,BHR,MENA,42,42,42,36,36,43,51,49,48,51
Benin,BEN,SSA,42,41,41,40,39,36,37,39,36,36
Burkina Faso,BFA,SSA,42,40,40,41,42,42,38,38,38,38
Belarus,BLR,ECA,41,47,45,44,44,40,32,31,29,31
Timor-Leste,TLS,AP,41,40,38,35,38,35,28,28,30,33
Trinidad and Tobago,TTO,AME,41,40,40,41,41,35,39,38,38,39
Maldives,MDV,AP,40,43,29,31,33,36,,,,
India,IND,AP,40,40,41,41,40,40,38,38,36,36
Guyana,GUY,AME,39,41,40,37,38,34,29,30,27,28
Morocco,MAR,MENA,39,40,41,43,40,37,36,39,37,37
Colombia,COL,AME,39,39,37,36,37,37,37,37,36,36
Ethiopia,ETH,SSA,39,38,37,34,35,34,33,33,33,33
Suriname,SUR,AME,39,38,44,43,41,45,36,36,36,37
Tanzania,TZA,SSA,39,38,37,36,36,32,30,31,33,35
Kosovo,KSV,ECA,39,36,36,37,39,36,33,33,33,34
Vietnam,VNM,AP,39,36,37,33,35,33,31,31,31,31
North Macedonia,MKD,ECA,39,35,35,37,35,37,42,45,44,43
Argentina,ARG,AME,38,42,45,40,39,36,32,34,34,35
Lesotho,LSO,SSA,38,41,40,41,42,39,44,49,49,45
Turkey,TUR,ECA,38,40,39,41,40,41,42,45,50,49
Brazil,BRA,AME,38,38,35,35,37,40,38,43,42,43
Serbia,SRB,ECA,38,38,39,39,41,42,40,41,42,39
Indonesia,IDN,AP,38,37,40,38,37,37,36,34,32,32
Kazakhstan,KAZ,ECA,37,38,34,31,31,29,28,29,26,28
Sri Lanka,LKA,AP,37,38,38,38,38,36,37,38,37,40
